Term,Definition
---,---
accumulation,"In narratology, this refers to the layering or building up of narrative elements (such as character traits, motifs, or themes) over the course of the story, enhancing depth and complexity."
achrony,"In Narratology, achrony refers to a discrepancy or absence of a clear temporal relationship between events or elements in a narrative, leading to an ambiguous or undefined timeline."
actantial model,"A narratological framework developed by A.J. Greimas, identifying six key roles (actants) in a narrative: Subject, Object, Helper, Opponent, Sender, and Receiver, used to analyze the structure of narratives."
actants,"Fundamental roles in a narrative, as defined in the actantial model, representing key functions or positions characters occupy in relation to the narrative's goals and structure."
actor,"Agents (not necessarily human) performing actions in a narrative, defined as causing or experiencing events."
actor competence,"In narratology, this refers to the abilities, skills, or knowledge a character possesses, which enable them to perform actions or play roles crucial to the narrative's development."
actor identity,"The characteristics, qualities, and identity of characters in a narrative, which determine their actions, motivations, and roles within the story."
agency,Actions attributed to subjects within the narrative layers.
allusions,"These are indirect references in a narrative to other texts, events, or cultural elements. Allusions enrich the story by creating layers of meaning and connecting the narrative to broader themes and contexts."
alteration,"In narratology, this refers to the modification or change in the state of affairs within a narrative, often significant for character development or plot progression."
ambiguous discourse,"In Narratology, this refers to a narrative style that deliberately creates uncertainty or multiple meanings in its storytelling. It leaves room for interpretation and often challenges the reader to actively engage in deciphering the true intent or reality of the narrative."
anachronies,"In Narratology, anachronies refer to the discrepancy between the order of events in the story and their chronological order in the narrative. It includes flashbacks or flashforwards that disrupt the chronological flow."
announcing future events,"A narrative technique where upcoming events or outcomes are revealed to the reader beforehand, often creating anticipation or dramatic irony."
anti-subject,"A character in a narrative who opposes or acts contrary to the goals and actions of the main subject, often creating conflict or serving as an antagonist."
anticipation,"In Narratology, this refers to the technique of creating expectation or suspense about future events in a story. It keeps readers engaged by making them look forward to potential outcomes or twists in the narrative."
anticipation announcements,"In Narratology, these are explicit statements within a narrative that signal upcoming events or developments, often used to create expectation or curiosity about the story’s direction."
anticipation hints,"Subtle clues or suggestions in a narrative that hint at future events or outcomes, used to subtly guide the reader’s expectations and maintain engagement with the story."
anticipations,"These are narrative elements that foreshadow or suggest future events in the story, creating a sense of expectation or foreboding about what is to come."
anticipations-within-retroversions,"A complex narrative technique where anticipatory elements are embedded within retrospectives or flashbacks, intertwining future expectations with past events."
attention distribution,"In Narratology, this refers to how the narrative allocates focus and emphasis on different elements or events, guiding the reader's attention and shaping their perception of the story."
attributive signals,"Linguistic cues or markers in a narrative that indicate a shift in focalization, perspective, or voice, such as changes in tense, pronouns, or narrative style."
author's focus,"This term denotes the aspects of the narrative that the author chooses to emphasize or highlight, such as character development, thematic elements, or specific events, shaping the overall narrative experience."
author's intention,"In Narratology, this term refers to the purpose or goal the author aims to achieve through the narrative. It encompasses the themes, messages, and effects the author intends to convey to the reader."
author's narrative style,"In Narratology, this refers to the unique manner in which an author constructs and conveys a story, encompassing language use, narrative techniques, and the structuring of plot and characters."
background information,Details provided in a narrative that give context to the storyline and characters.
backstory,"In Narratology, this refers to the history or background of a character or event that is revealed to provide context to the current narrative. It offers deeper insights into characters’ motivations, behaviors, and relationships."
Bremond's Narrative Model,"A model developed by Claude Bremond in narratology that breaks down narratives into sequences of possibilities and outcomes, focusing on the logical structure of events and actions."
brief crises,"Short, intense periods of conflict or challenge in a narrative, often serving as catalysts for plot progression or character development."
causal relationship,"In narratology, this refers to the connection between events where one event causes or influences another, contributing to the narrative's logic and progression."
central moments for narrative development,Key events or turning points in a story that significantly impact its progression.
central narrator (CN),"The main narrator of a story in Narratology, responsible for conveying the primary narrative and often serving as the focal point for the reader’s understanding and interpretation."
central relationship,"The primary and most significant relationship in a narrative, often between key characters, which drives the plot and influences the story's development and themes."
change,"A fundamental element in narratives, denoting the transition from one state to another within the story's events, characters, or settings."
changeable process elements,"Aspects of a narrative that are dynamic and evolve over the course of the story, such as actions, decisions, and events, contributing to the narrative's development."
character,An agent within the story layer of a narrative.
